ten_loai_sach,dinh_huong,lop,chu_de,loai,bai_hoc,muc_tieu,nang_luc_chinh,nang_luc_ho_tro,chi_muc_1,chi_muc_2,chi_muc_3,chi_muc_4,chi_muc_5,chi_muc_6,chi_muc_7
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 5: Thực hành viết chương trình đơn giản,"Viết và thực hiện được một vài chương trình Python đơn giản với dữ liệu nhập vào từ bàn phím. 
Sử dụng được một vài hàm toán học do Python cung cấp. 
Nhận biết được chú thích trong một chương trình Python.",NLc,"NLa, NLe, NLb, NLd",Bài 1: Giải phương trình bậc nhất,Bài 2: An ninh lương thực,Bài 3: Tìm ước chung lớn nhất,Bài 4: Làm quen với ghi chú thích trong chương trình,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 6: Câu lệnh rẽ nhánh,"Biết được các phép so sánh và các phép tính logic tạo thành biểu thức logic thể hiện điều kiện rẽ nhánh trong chương trình. 
Viết được câu lệnh rẽ nhánh trong Python.",NLc,"NLa, NLe, NLb, NLd",Cấu trúc rẽ nhánh trong mô tả thuật toán,Điều kiện rẽ nhánh,Câu lệnh rẽ nhánh trong chương trình Python,,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 7: Thực hành câu lệnh rẽ nhánh,Viết được chương trình đơn giản có sử dụng câu lệnh rẽ nhánh.,NLc,"NLa, NLe, NLb, NLd",Bài 1: Lấy ví dụ về câu lệnh if,Bài 2: Chia kẹo,Bài 3: Tìm lỗi sai,Bài 4: Tìm số lớn nhất,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 8: Câu lệnh lặp,"Biết được có hai loại cấu trúc lặp để mô tả thuật toán: lặp với số lần biết trước và lặp với số lần không biết trước. 
Viết được câu lệnh lặp dạng for và dạng while trong Python.",NLc,"NLa, NLe, NLb, NLd",Cấu trúc lặp trong mô tả thuật toán,Câu lệnh lặp với số lần lặp biết trước trong Python,Câu lệnh lặp với số lần lặp không biết trước trong Python,,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 9: Thực hành câu lệnh lặp,"Viết được chương trình đơn giản có sử dụng câu lệnh lặp. 
Viết được chương trình đơn giản có sử dụng câu lệnh rẽ nhánh kết hợp với câu lệnh lặp.",NLc,"NLa, NLe, NLb, NLd",Bài 1: Làm quen với câu lệnh lặp trong Python,Bài 2: Đếm các ước thực sự của một số nguyên,Bài 3: Nhập dữ liệu có kiểm tra,,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 10: Chương trình con và thư viện các chương trình con có sẵn,"Xây dựng và sử dụng được chương trình con trong Python. 
Sử dụng được chương trình con xây dựng sẵn của hệ thống.",NLc,"NLa, NLe, NLb, NLd",Khái niệm chương trình con,Khai báo và gọi thực hiện một hàm trong Python,Chuyển dữ liệu cho hàm thực hiện,Lời gọi hàm,Các hàm được xây dựng sẵn,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 11: Thực hành lập trình với hàm và thư viện,"Chạy và kiểm thử được chương trình. 
Rèn luyện được kĩ năng viết chương trình có khai báo và gọi hàm. 
Tìm hiểu và sử dụng được hàm time có trong thư viện.",NLc,"NLa, NLe, NLb, NLd",Bài 1: Giải phương trình bậc nhất,Bài 2: Thời gian gặp nhau,Bài 3: Thời gian thực hiện chương trình,,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 12: Kiểu dữ liệu xâu kí tự – Xử lí xâu kí tự,"Nhận biết được dữ liệu kiểu xâu. 
Viết được câu lệnh Python trích xâu con từ xâu cho trước. 
Sử dụng được một số phép xử lí xâu thường dùng trong Python.",NLc,"NLa, NLe, NLb, NLd",Kiểu dữ liệu xâu kí tự,Một số hàm xử lí xâu kí tự,,,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 13: Thực hành dữ liệu kiểu xâu,"Tìm và xoá được kí tự trong xâu. 
Tách được xâu con, thay thế được xâu con. 
Đếm được số lần xuất hiện kí tự cho trước trong xâu.",NLc,"NLa, NLe, NLb, NLd",Bài 1: Xóa kí tự trong xâu,Bài 2: Giúp bạn tìm và sửa lỗi chương trình,Bài 3: Xác định tọa độ,,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 14: Kiểu dữ liệu danh sách – Xử lí danh sách,"Nhận biết được sơ lược cấu trúc của kiểu dữ liệu mảng trong các ngôn ngữ lập trình bậc cao.
Mô tả được kiểu danh sách trong Python có cấu trúc giống như kiểu mảng.
Viết được câu lệnh trong Python để khởi tạo và truy cập tới các phần tử của danh sách.
Sử dụng được một số hàm xử lí danh sách thường dùng.",NLc,"NLa, NLe, NLb, NLd",Kiểu dữ liệu danh sách,Một số hàm và thao tác xử lí danh sách,,,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 15: Thực hành với kiểu dữ liệu danh sách,"Viết được chương trình đơn giản sử dụng kiểu dữ liệu danh sách.
Làm quen và khai thác được một số hàm xử lí danh sách.",NLc,"NLa, NLe, NLb, NLd",Bài 1. Cập nhật danh sách,Bài 2. Các số đặc biệt của dãy số,Bài 3. Trò chơi với các chiếc giày,,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 16: Kiểm thử và gỡ lỗi chương trình,"Biết và khắc phục được một số lỗi thường gặp khi viết chương trình.
Bước đầu thực hiện được một số truy vết đơn giản để tìm và gỡ lỗi cho chương trình Python.",NLc,"NLa, NLe, NLb, NLd",Lỗi trong chương trình và kiểm thử,Truy vết với cách bổ sung câu lệnh theo dõi kết quả trung gian,Truy vết với công cụ gỡ lỗi của ngôn ngữ lập trình,Thực hành gỡ lỗi cho chương trình,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Thực hành,Bài 17: Thực hành lập trình giải bài toán trên máy tính,"Mô tả được thuật toán bằng liệt kê các bước hoặc bằng sơ đồ khối.
Viết và thực hiện được chương trình máy tính giải bài toán đơn giản.",NLc,"NLa, NLe, NLb, NLd",Bài 1. Cứu nạn,Bài 2. Dự trữ vacxin,,,,,
Cánh diều,,10,CHỦ ĐỀ F. GIẢI QUYẾT VẤN ĐỀ VỚI SỰ TRỢ GIÚP CỦA MÁY TÍNH ,Lý thuyết,Bài 18: Lập trình giải quyết bài toán trên máy tính,Trình bày tóm tắt được các bước cần thực hiện khi giải một bài toán bằng lập trình trên máy tính với một ngôn ngữ lập trình bậc cao.,NLc,"NLa, NLe, NLb, NLd",Quá trình giải một bài toán bằng lập trình,Các bước giải bài toán bằng lập trình,,,,,
Cánh diều,,10,CHỦ ĐỀ G. HƯỚNG NGHIỆP VỚI TIN HỌC ,Lý thuyết,Bài 1: Nhóm nghề thiết kế và lập trình,"Nêu được một số thông tin cơ bản về nhóm nghề thiết kế và lập trình:
Sơ lược về các công việc chính.
Yêu cầu chính về kiến thức và kĩ năng.
Các ngành học có liên quan ở các bậc học tiếp theo.
Nhu cầu nhân lực hiện tại và tương lai.","NLd, NLe, NLb","NLa, NLc",Mô tả nhóm nghề thiết kế và lập trình,"Đặc điểm lao động, yêu cầu đối với nhóm nghề thiết kế và lập trình",Đào tạo và việc làm,,,,
Cánh diều,,10,CHỦ ĐỀ G. HƯỚNG NGHIỆP VỚI TIN HỌC ,Lý thuyết,"Bài 2: Dự án nhỏ: Tìm hiểu về nghề lập trình web, lập trình trò chơi và lập trình cho thiết bị di động","Tìm kiếm và khai thác được thông tin khái quát về nghề thiết kế và lập trình web, thiết kế và lập trình trò chơi, phát triển ứng dụng trên thiết bị di động và các ngành nghề khác.
Giao lưu được với bạn bè qua các kênh truyền thông tin số để tham khảo và trao đổi thông tin hướng nghiệp.
Trình bày, giới thiệu về một vài nghề trong nhóm nghề thiết kế và lập trình.","NLd, NLe, NLb","NLa, NLc",Mục đích của dự án,Yêu cầu chung,,,,,
Cánh diều,,10,CHỦ ĐỀ A (CS). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 1: Hệ nhị phân và ứng dụng,"Hiểu và thực hiện được các phép toán cơ bản NOT, AND, OR và XOR theo từng bit và cho các dãy bit.
Biết hệ nhị phân (hệ đếm cơ số 2) là gì.
Chuyển đổi được số đếm hệ nhị phân sang giá trị thập phân và ngược lại.
Biết được các phép toán bit là cơ sở để thực hiện các tính toán số học nhị phân.
Giải thích được ứng dụng của hệ nhị phân trong tin học.","NLa, NLe","NLb, NLc, NLd",Các phép toán bit,Hệ nhị phân và ứng dụng,,,,,
Cánh diều,,10,CHỦ ĐỀ A (CS). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Thực hành,Bài 2: Thực hành về các phép toán bit và hệ nhị phân,"Thực hiện được các phép toán bit NOT, AND, OR và XOR theo từng bit và cho dãy bit.
Thực hiện được các phép toán cộng và nhân hai số nhị phân.
Viết được số bù 1, số bù 2 của một số nguyên nhị phân và biết được số bù 2 là số đối của số nguyên nhị phân.","NLa, NLe","NLb, NLc, NLd",Bài 1. Chuyển đổi biểu diễn số ở hệ thập phân sang hệ nhị phân,Bài 2. Cộng và nhân hai số nhị phân,Bài 3. Tính số bù của một số nhị phân,Bài 4. Khám phá ý nghĩa của số bù của một số nhị phân,,,
Cánh diều,,10,CHỦ ĐỀ A (CS). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 3: Số hoá văn bản,"Biết một số bảng mã kí tự như ASCII, ASCII mở rộng, bảng mã chuẩn quốc tế Unicode là gì và chức năng của chúng.
Biết được dữ liệu văn bản chứa thông tin về các kí tự kèm màu sắc, kiểu dáng, định dạng...
Biết vài khía cạnh lịch sử liên quan đến văn bản tiếng Việt trong máy tính.","NLa, NLe","NLb, NLc, NLd",Bảng mã ASCII,Bảng mã Unicode,"Mã kí tự, bộ kí tự và mã nhị phân",Dữ liệu văn bản và số hoá văn bản,Kí tự tiếng Việt trong dữ liệu văn bản,,
Cánh diều,,10,CHỦ ĐỀ A (CS). MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 4: Số hoá hình ảnh và số hoá âm thanh,"Giải thích được sơ lược cách số hoá hình ảnh.
Giải thích được sơ lược cách số hoá âm thanh.","NLa, NLe","NLb, NLc, NLd",Số hoá hình ảnh,Số hoá âm thanh,,,,,
Cánh diều,,10,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,"Bài 1: Tạo văn bản, tô màu và ghép ảnh","Bước đầu làm quen được với một số thành phần chính trong màn hình làm việc của GIMP.
Tạo được tệp ảnh mới, lưu được tệp ảnh và xuất tệp ảnh với định dạng chuẩn.
Bước đầu nhận diện được các lớp ảnh, chọn và đổi được tên lớp ảnh.
Bước đầu sử dụng được các công cụ: tạo văn bản, tô màu, ghép ảnh đơn giản để tạo được các sản phẩm đồ hoạ như thiệp chúc mừng, thiệp mời, bưu thiếp.","NLa, NLe, NLc","NLb, NLd",Phần mềm thiết kế đồ hoạ và GIMP,Tạo tệp ảnh mới,Tô màu,Tạo văn bản,Mở tệp ảnh và ghép ảnh,,
Cánh diều,,10,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,"Bài 2: Một số kĩ thuật thiết kế sử dụng vùng chọn, đường dẫn và các lớp ảnh","Thực hiện được các thao tác cơ bản đối với lớp, vùng chọn và đường dẫn.
Biết và thực hiện được một số kĩ thuật thiết kế dựa trên lớp, vùng chọn và đường dẫn.","NLa, NLe, NLc","NLb, NLd",Khám phá các lớp ảnh,Một số kĩ thuật thiết kế làm việc với các lớp ảnh,Sử dụng vùng chọn,Một số kĩ thuật thiết kế sử dụng vùng chọn,Sử dụng đường dẫn,Kĩ thuật thiết kế “Cắt xén chi tiết thừa”,"Thực hành (Thiết kế hình tròn đồng tâm, hình lồng nhau)"
Cánh diều,,10,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Lý thuyết,Bài 3: Tách ảnh và thiết kế đồ hoạ với kênh alpha,"Hiểu được khái niệm độ “trong suốt”.
Sử dụng được kênh alpha và các kĩ thuật thiết kế dựa trên vùng chọn, đường dẫn để thiết kế được banner hoặc băng rôn.","NLa, NLe, NLc","NLb, NLd",Kênh alpha và kĩ thuật tách ảnh nhờ kênh alpha,Xác định vùng chọn đối tượng từ kênh alpha trong thiết kế đồ hoạ,"Thực hành (Tạo thiệp chúc mừng, Tạo banner)",,,,
Cánh diều,,10,CHỦ ĐỀ E (ICT). ỨNG DỤNG TIN HỌC ,Thực hành,Bài 4: Thực hành tổng hợp,"Sử dụng được các lớp ảnh, kênh alpha và ôn luyện các kĩ thuật thiết kế.
Làm quen với các lệnh tạo hiệu ứng.
Tạo được các sản phẩm đồ hoạ đơn giản như logo, poster.","NLa, NLe, NLc","NLb, NLd",Bài 1. Thiết kế logo Olympic Việt Nam,"Bài 2. Thiết kế banner ""Câu lạc bộ Tin học ứng dụng""",,,,,
Kết nối tri thức với cuộc sống,,11,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 1. Hệ điều hành,"Trình bày được sơ lược lịch sử phát triển của các hệ điều hành thông dụng cho PC .
Chỉ ra được một số đặc điểm của hệ điều hành cho thiết bị di động .
Trình bày được một cách khái quát mối quan hệ giữa phần cứng, hệ điều hành và phần mềm ứng dụng cũng như vai trò của mỗi thành phần trong hoạt động chung của cả hệ thống.","NLa, NLe","NLb, NLc, NLd",Lịch sử phát triển của hệ điều hành máy tính cá nhân.,Hệ điều hành cho thiết bị di động.,"Quan hệ giữa hệ điều hành, phần cứng và phần mềm ứng dụng.",,,,
Kết nối tri thức với cuộc sống,,11,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Thực hành,Bài 2. Thực hành sử dụng hệ điều hành,"Sử dụng được một số chức năng cơ bản của hệ điều hành cho máy tính cá nhân .
Sử dụng được một vài tiện ích của hệ điều hành nâng cao hiệu quả của máy tính cá nhân .
Sử dụng được một vài tiện ích cơ bản của hệ điều hành trên thiết bị di động.","NLa, NLe","NLb, NLc, NLd",Nhiệm vụ 1: Sử dụng một số chức năng cơ bản của hệ điều hành cho máy tính cá nhân.,Nhiệm vụ 2: Sử dụng một số tiện ích trên hệ điều hành máy tính cá nhân nhằm nâng cao hiệu quả sử dụng máy.,Nhiệm vụ 3: Sử dụng một số tiện ích của hệ điều hành cho thiết bị di động.,,,,
Kết nối tri thức với cuộc sống,,11,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 3. Phần mềm nguồn mở và phần mềm chạy trên Internet,"Trình bày được một số khái niệm và so sánh phần mềm nguồn mở với phần mềm thương mại; nêu được vai trò của phần mềm nguồn mở và phần mềm thương mại đối với sự phát triển của công nghệ thông tin. 
Làm quen với phần mềm chạy trên Internet.","NLa, NLe","NLb, NLc, NLd",Phần mềm nguồn mở.,Vai trò của phần mềm thương mại và phần mềm nguồn mở.,Phần mềm chạy trên Internet.,,,,
Kết nối tri thức với cuộc sống,,11,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 4. Bên trong máy tính,"Nhận diện được một số thiết bị trong thân máy với chức năng và các thông số đo hiệu năng của chúng. 
Nhận biết được sơ đồ của các mạch lôgic AND, OR, NOT và giải thích được vai trò của các mạch lôgic đó trong thực hiện các tính toán nhị phân.","NLa, NLe","NLb, NLc, NLd",Các thiết bị bên trong máy tính.,Mạch lôgic và vai trò của mạch lôgic.,,,,,
Kết nối tri thức với cuộc sống,,11,CHỦ ĐỀ 1. MÁY TÍNH VÀ XÃ HỘI TRI THỨC,Lý thuyết,Bài 5. Kết nối máy tính với các thiết bị số,"Biết một số thông số cơ bản của thiết bị vào ra thông dụng, cách kết nối với máy tính cũng như tuỳ chỉnh được một vài chức năng cơ bản để nâng cao hiệu quả và đáp ứng nhu cầu sử dụng. 
Đọc hiểu và giải thích được một số thông số cơ bản của các thiết bị số thông dụng trong các tài liệu để kết nối chúng với máy tính.","NLa, NLe","NLb, NLc, NLd",Một số thiết bị vào – ra thông dụng.,Kết nối máy tính với thiết bị số.,,,,,
Kết nối tri thức với cuộc sống,,11,"CHỦ ĐỀ 2. TỔ CHỨC LƯU TRỮ, TÌM KIẾM VÀ TRAO ĐỔI THÔNG TIN",Lý thuyết,Bài 6. Lưu trữ và chia sẻ tệp tin trên Internet,"Sử dụng được một số công cụ trực tuyến như Google Drive hay Dropbox,... để lưu trữ và chia sẻ tệp tin.","NLc, NLe","NLa, NLb, NLd",Lưu trữ và chia sẻ tệp tin trên Internet – Ổ đĩa trực tuyến.,Thực hành: Lưu trữ và chia sẻ tệp tin trên ổ đĩa trực tuyến.,,,,,
Kết nối tri thức với cuộc sống,,11,"CHỦ ĐỀ 2. TỔ CHỨC LƯU TRỮ, TÌM KIẾM VÀ TRAO ĐỔI THÔNG TIN",Lý thuyết,Bài 7. Thực hành tìm kiếm thông tin trên Internet,"Sử dụng được máy tìm kiếm trên PC và thiết bị số thông minh bằng cách gõ từ khoá hoặc bằng tiếng nói. 
Xác lập được các lựa chọn theo tiêu chí tìm kiếm để nâng cao hiệu quả tìm kiếm thông tin.","NLc, NLe","NLa, NLb, NLd",Nhiệm vụ 1: Tìm kiếm thông tin trên Internet bằng máy tìm kiếm.,Nhiệm vụ 2: Khám phá cách thực hiện tìm kiếm bằng tiếng nói.,Nhiệm vụ 3: Xác lập được các lựa chọn theo tiêu chí tìm kiếm để nâng cao hiệu quả tìm kiếm thông tin.,Nhiệm vụ 4: Trải nghiệm và so sánh giữa các máy tìm kiếm phổ biến.,,,
Kết nối tri thức với cuộc sống,,11,"CHỦ ĐỀ 2. TỔ CHỨC LƯU TRỮ, TÌM KIẾM VÀ TRAO ĐỔI THÔNG TIN",Thực hành,Bài 8. Thực hành nâng cao sử dụng thư điện tử và mạng xã hội,"Biết đánh dấu và phân loại thư điện tử. 
Khai thác được một số chức năng nâng cao của mạng xã hội.","NLc, NLe","NLa, NLb, NLd",Đánh dấu và phân loại thư điện tử.,Khai thác một số chức năng nâng cao của mạng xã hội.,,,,,
Kết nối tri thức với cuộc sống,,11,"CHỦ ĐỀ 3. ĐẠO ĐỨC, PHÁP LUẬT VÀ VĂN HOÁ TRONG MÔI TRƯỜNG SỐ",Lý thuyết,Bài 9. Giao tiếp an toàn trên Internet,"Nêu được một số dạng lừa đảo phổ biến trên không gian số và những biện pháp phòng tránh. 
Biết giao tiếp một cách văn minh, phù hợp với các quy tắc và văn hoá ứng xử trong môi trường số.",NLb,"NLa, NLc, NLd, NLe",Nhận biết và phòng tránh một số dạng lừa đảo trên không gian số.,Giao tiếp và ứng xử trong môi trường số.,,,,,
Kết nối tri thức với cuộc sống,,11,CHỦ ĐỀ 4. GIỚI THIỆU CÁC HỆ CƠ SỞ DỮ LIỆU,Lý thuyết,Bài 10. Lưu trữ dữ liệu và khai thác thông tin phục vụ quản lí,Biết được sự cần thiết phải lưu trữ dữ liệu và khai thác thông tin từ dữ liệu lưu trữ cho các bài toán quản lí.,NLb,"NLa, NLc, NLd, NLe",Cập nhật dữ liệu.,Truy xuất dữ liệu và khai thác thông tin.,Thu thập dữ liệu tự động.,,,,
Kết nối tri thức với cuộc sống,,11,CHỦ ĐỀ 4. GIỚI THIỆU CÁC HỆ CƠ SỞ DỮ LIỆU,Lý thuyết,Bài 11. Cơ sở dữ liệu,Hiểu được khái niệm và các thuộc tính cơ bản của cơ sở dữ liệu.,NLb,"NLa, NLc, NLd, NLe",Yêu cầu tổ chức lưu trữ dữ liệu một cách khoa học.,Cơ sở dữ liệu và một số thuộc tính cơ bản.,,,,,
Kết nối tri thức với cuộc sống,,11,CHỦ ĐỀ 4. GIỚI THIỆU CÁC HỆ CƠ SỞ DỮ LIỆU,Lý thuyết,Bài 12. Hệ quản trị cơ sở dữ liệu và hệ cơ sở dữ liệu,"Hiểu được khái niệm hệ quản trị CSDL. 
Hiểu được khái niệm hệ CSDL. 
Phân biệt được CSDL tập trung và CSDL phân tán.",NLb,"NLa, NLc, NLd, NLe",Khái niệm hệ quản trị cơ sở dữ liệu.,Hệ cơ sở dữ liệu.,Hệ cơ sở dữ liệu tập trung và phân tán.,,,,
Kết nối tri thức với cuộc sống,,11,CHỦ ĐỀ 4. GIỚI THIỆU CÁC HỆ CƠ SỞ DỮ LIỆU,Lý thuyết,Bài 13. Cơ sở dữ liệu quan hệ,"Hiểu được mô hình CSDL quan hệ. 
Hiểu được các thuật ngữ và khái niệm liên quan: bản ghi, trường (thuộc tính), khoá, khoá chính, khoá ngoài, liên kết dữ liệu.",NLb,"NLa, NLc, NLd, NLe",Khái niệm cơ sở dữ liệu quan hệ.,"Một số thuật ngữ, khái niệm liên quan.",,,,,
Kết nối tri thức với cuộc sống,,11,CHỦ ĐỀ 4. GIỚI THIỆU CÁC HỆ CƠ SỞ DỮ LIỆU,Lý thuyết,Bài 14. SQL – Ngôn ngữ truy vấn có cấu trúc,"Hiểu được ở mức nguyên lí: CSDL và các bảng được tạo lập, được thêm mới, cập nhật và truy xuất dữ liệu qua SQL.",NLb,"NLa, NLc, NLd, NLe",Lợi ích của ngôn ngữ truy vấn.,Khởi tạo CSDL.,Cập nhật và truy xuất dữ liệu.,Kiểm soát quyền truy cập.,,,
Kết nối tri thức với cuộc sống,,11,CHỦ ĐỀ 4. GIỚI THIỆU CÁC HỆ CƠ SỞ DỮ LIỆU,Lý thuyết,Bài 15. Bảo mật và an toàn hệ cơ sở dữ liệu,Hiểu được tầm quan trọng và một số biện pháp bảo vệ hệ CSDL.,NLb,"NLa, NLc, NLd, NLe",Bảo mật hệ CSDL.,Bảo đảm an toàn dữ liệu.,,,,,
Kết nối tri thức với cuộc sống,,11,CHỦ ĐỀ 5. HƯỚNG NGHIỆP VỚI TIN HỌC,Lý thuyết,Bài 16. Công việc quản trị cơ sở dữ liệu,"Hiểu được các công việc cần thực hiện cùng các kiến thức và kĩ năng cần thiết để quản trị CSDL, các ngành học có liên quan và nhu cầu xã hội đối với công việc quản trị CSDL. 
Có thể tìm kiếm, khai thác và trao đổi thông tin hướng nghiệp liên quan đến công việc quản trị CSDL.","NLd, NLe, NLb","NLd, NLe, NLb",Nhà quản trị cơ sở dữ liệu.,Phẩm chất và năng lực của nhà quản trị CSDL.,Cơ hội việc làm.,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 6 (ICT). THỰC HÀNH TẠO VÀ KHAI THÁC CƠ SỞ DỮ LIỆU,Lý thuyết,Bài 17. Quản trị cơ sở dữ liệu trên máy tính,"Biết được lợi ích của việc quản trị CSDL trên máy tính. 
Làm quen với MySQL và HeidiSQL – bộ công cụ hỗ trợ việc quản trị CSDL trên máy tính.",NLc,"NLa, NLe, NLb, NLd",Lợi ích của việc quản trị cơ sở dữ liệu trên máy tính.,Hệ quản trị cơ sở dữ liệu MySQL và phần mềm HeidiSQL.,,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 6 (ICT). THỰC HÀNH TẠO VÀ KHAI THÁC CƠ SỞ DỮ LIỆU,Thực hành,Bài 18. Thực hành xác định cấu trúc bảng và các trường khoá,"Có được hình dung về công việc xác định các bảng dữ liệu, cấu trúc của chúng và các trường khoá trước khi bước vào tạo lập CSDL.",NLc,"NLa, NLe, NLb, NLd",Xem xét bài toán.,Tạo lập bảng.,Tổ chức lại bảng dữ liệu.,Các loại khoá.,Về các kiểu dữ liệu của các trường.,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 6 (ICT). THỰC HÀNH TẠO VÀ KHAI THÁC CƠ SỞ DỮ LIỆU,Thực hành,Bài 19. Thực hành tạo lập cơ sở dữ liệu và các bảng,"Biết tạo mới một CSDL, thực hiện thông qua giao diện của phần mềm khách quản trị CSDL HeidiSQL. 
Tạo được các bảng không có khoá ngoài, chỉ định được khoá chính cho mỗi bảng, khoá cấm trùng lặp cho những trường không được có giá trị trùng lặp.",NLc,"NLa, NLe, NLb, NLd",Tạo lập CSDL MyMusic.,Tạo lập bảng.,Khai báo các trường khoá.,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 6 (ICT). THỰC HÀNH TẠO VÀ KHAI THÁC CƠ SỞ DỮ LIỆU,Thực hành,Bài 20. Thực hành tạo lập các bảng có khoá ngoài,Biết cách tạo mới các bảng có khoá ngoài.,NLc,"NLa, NLe, NLb, NLd","Khai báo bảng bannhac với các trường idBannhac, tenBannhac.",Khai báo các trường là khoá ngoài.,,,,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 6 (ICT). THỰC HÀNH TẠO VÀ KHAI THÁC CƠ SỞ DỮ LIỆU,Thực hành,Bài 21. Thực hành cập nhật và truy xuất dữ liệu các bảng,Biết cách cập nhật và truy xuất CSDL.,NLc,"NLa, NLe, NLb, NLd",Thêm mới dữ liệu vào bảng nhacsi.,Chỉnh sửa dữ liệu trong bảng nhacsi.,Xoá dòng dữ liệu trong bảng nhacsi.,Truy xuất dữ liệu từ bảng nhacsi.,Truy xuất dữ liệu với câu truy vấn SQL.,,
Kết nối tri thức với cuộc sống,Tin học ứng dụng,11,CHỦ ĐỀ 6 (ICT). THỰC HÀNH TẠO VÀ KHAI THÁC CƠ SỞ DỮ LIỆU,Thực hành,Bài 22. Thực hành cập nhật bảng dữ liệu có tham chiếu,Hiểu được cách thức nhập dữ liệu đối với các bảng có trường khoá ngoài – trường tham chiếu đến một khoá chính của bảng khác.,NLc,"NLa, NLe, NLb, NLd",Nhiệm vụ 1: Cập nhật bảng bannhac.,Nhiệm vụ 2: Tìm hiểu một chức năng của phần mềm ứng dụng Quản lí dữ liệu âm nhạc.,,,,,
